0.000000,0.000000,3.488639,0.000000,0.000000,0.000000
0.065737,-0.392443,3.468595,0.000170,0.000001,0.000001
0.167994,-0.776879,3.408469,0.000331,-0.000022,-0.000022
0.287589,-1.133726,3.345716,0.000415,-0.000050,-0.000050
0.403061,-1.398234,3.306411,0.000410,-0.000061,-0.000061
0.519045,-1.675618,3.280527,0.000391,-0.000058,-0.000058
0.652454,-1.925373,3.231624,0.000357,-0.000061,-0.000061
0.774989,-2.192246,3.207502,0.000307,-0.000090,-0.000090
0.907653,-2.486357,3.188783,0.000268,-0.000147,-0.000147
1.043566,-2.741916,3.167202,0.000210,-0.000172,-0.000172
1.184116,-3.016274,3.161942,0.000158,-0.000140,-0.000140
1.318353,-3.296327,3.149196,0.000190,-0.000100,-0.000100
1.459117,-3.554217,3.121050,0.000254,-0.000071,-0.000071
1.601745,-3.820821,3.091461,0.000272,-0.000061,-0.000061
1.747672,-4.097110,3.074027,0.000263,-0.000049,-0.000049
1.896510,-4.352788,3.089279,0.000283,-0.000061,-0.000061
2.047691,-4.618002,3.068068,0.000262,-0.000098,-0.000098
2.178929,-4.852887,3.075097,0.000167,-0.000117,-0.000117
2.337565,-5.110019,3.101312,0.000050,-0.000103,-0.000103
2.496940,-5.364779,3.137734,-0.000043,-0.000042,-0.000042
2.667679,-5.639522,3.176818,-0.000066,0.000014,0.000014
2.848054,-5.901006,3.176826,-0.000028,0.000048,0.000048
3.051072,-6.198871,3.218585,0.000029,0.000048,0.000048
3.254530,-6.499443,3.218567,0.000054,0.000024,0.000024
3.446997,-6.757118,3.218574,0.000032,0.000009,0.000009
3.535844,-6.878407,3.206630,0.000042,0.000005,0.000005
3.712520,-7.117917,3.212864,0.000124,-0.000033,-0.000033
3.876654,-7.323127,3.205887,0.000262,-0.000062,-0.000062
4.065286,-7.562320,3.196501,0.000353,-0.000024,-0.000024
4.273793,-7.826621,3.206244,0.000368,0.000064,0.000064
4.472720,-8.061213,3.233871,0.000344,0.000127,0.000127
4.686315,-8.314671,3.271953,0.000319,0.000094,0.000094
4.895772,-8.546970,3.316869,0.000296,0.000008,0.000008
5.118517,-8.796374,3.387083,0.000297,-0.000010,-0.000010
5.352993,-9.060163,3.470059,0.000318,0.000051,0.000051
5.591470,-9.310493,3.561261,0.000359,0.000104,0.000104
5.844520,-9.575074,3.639085,0.000411,0.000095,0.000095
6.109954,-9.850719,3.716468,0.000436,0.000065,0.000065
6.379993,-10.113291,3.810146,0.000412,0.000059,0.000059
6.662836,-10.386621,3.911285,0.000386,0.000055,0.000055
6.954364,-10.656951,4.000403,0.000365,0.000077,0.000077
7.263197,-10.922011,4.101851,0.000340,0.000132,0.000132
7.583984,-11.194410,4.186294,0.000293,0.000180,0.000180
7.917419,-11.472957,4.261755,0.000249,0.000158,0.000158
8.258314,-11.738802,4.340248,0.000234,0.000090,0.000090
8.609847,-12.009761,4.387468,0.000244,0.000064,0.000064
